*Fold,Track,F-Measure,Cemgil,Goto,McKinney P-score,CMLc,CMLt,AMLc,AMLt,D (bits)
0,beat_maz_000000,76.6800,70.2090,0.0000,70.3970,6.8592,59.2060,6.8592,59.2060,1.6661
0,beat_maz_000001,65.0270,57.1830,0.0000,63.9180,4.6392,39.6910,4.6392,39.6910,0.7972
0,beat_maz_000002,77.4930,65.5380,0.0000,75.9560,8.7432,51.3660,8.7432,51.3660,1.1204
0,beat_maz_000003,71.5840,64.5480,0.0000,69.2480,4.7836,51.4810,4.7836,51.4810,1.3225
0,beat_maz_000004,68.8890,62.9040,0.0000,70.6140,16.6670,52.1930,16.6670,52.1930,1.1753
0,beat_maz_000005,80.7160,75.0360,0.0000,71.9860,7.4468,58.8650,7.4468,58.8650,1.7002
0,beat_maz_000006,59.2850,50.1990,0.0000,51.8250,3.4672,20.4380,3.4672,29.1990,0.6258
0,beat_maz_000007,75.7950,65.7050,0.0000,69.2980,5.7018,44.7370,5.7018,44.7370,0.8646
0,beat_maz_000008,77.2330,65.9240,0.0000,69.5070,7.3991,48.4300,7.3991,48.4300,0.8735
0,beat_maz_000009,81.6380,72.5490,0.0000,76.5430,8.3951,60.7410,8.3951,60.7410,1.2124
0,beat_maz_000010,76.1390,71.5230,0.0000,70.7920,9.9010,58.9110,9.9010,58.9110,1.5684
0,beat_maz_000011,63.2480,54.1490,0.0000,59.1240,2.9197,31.0220,2.9197,31.0220,0.6674
0,beat_maz_000012,74.7620,68.6950,0.0000,71.1750,5.0998,54.7670,5.0998,54.7670,1.5081
0,beat_maz_000013,70.8810,61.9620,0.0000,62.7910,3.9867,41.1960,3.9867,41.1960,0.8241
0,beat_maz_000014,83.0880,76.4940,0.0000,80.7960,11.9440,71.4290,11.9440,71.4290,2.0600
0,beat_maz_000015,84.8880,74.7380,0.0000,77.2950,6.0386,59.6620,6.0386,59.6620,1.0642
0,beat_maz_000016,87.1790,79.0770,0.0000,80.9520,18.2540,70.6350,18.2540,70.6350,1.7738
0,beat_maz_000017,63.0870,55.3390,0.0000,54.0980,5.7377,34.1530,5.7377,34.1530,1.1744
0,beat_maz_000018,67.8110,61.2850,0.0000,67.4800,8.1301,49.5930,8.1301,49.5930,1.2833
0,beat_maz_000019,54.5650,48.5150,0.0000,50.6330,4.3400,28.2100,4.3400,28.2100,0.4960
0,beat_maz_000020,59.3220,54.5880,0.0000,65.1930,5.5249,34.2540,5.5249,34.2540,1.1004
0,beat_maz_000021,80.9640,74.8980,0.0000,71.7950,9.4017,57.6920,9.4017,57.6920,1.3653
0,beat_maz_000022,71.1960,65.9090,0.0000,68.6870,5.5556,48.9900,5.5556,48.9900,1.3243
0,beat_maz_000023,56.1110,47.8640,0.0000,48.6990,5.9249,16.6180,5.9249,28.6450,0.4223
0,beat_maz_000024,85.9140,74.8320,0.0000,80.6450,5.7604,61.2900,5.7604,61.2900,0.9950
0,beat_maz_000025,87.3350,77.6850,100.0000,82.3100,9.3366,67.8130,9.3366,67.8130,1.4634
0,beat_maz_000026,70.8450,63.1590,0.0000,67.3470,10.7140,49.4900,10.7140,49.4900,1.4309
0,beat_maz_000027,65.0660,58.4590,0.0000,64.6400,4.7297,43.0180,4.7297,43.0180,1.0953
0,beat_maz_000028,76.4270,70.9940,0.0000,70.0000,8.6364,57.7270,8.6364,57.7270,1.5957
0,beat_maz_000029,79.5870,72.3360,0.0000,74.1180,8.2353,54.3530,8.2353,54.3530,1.2408
0,beat_maz_000030,85.1990,76.0100,0.0000,76.6360,7.2430,64.2520,7.2430,64.2520,1.2663
0,beat_maz_000031,61.7700,54.8960,0.0000,55.1610,3.2258,30.9680,3.2258,30.9680,0.6795
0,beat_maz_000032,69.1740,60.9330,0.0000,60.5970,3.2967,32.4960,3.2967,32.4960,0.7074
0,beat_maz_000033,84.0880,74.1850,0.0000,77.7250,6.1611,62.0850,6.1611,62.0850,1.1750
0,beat_maz_000034,65.2430,58.1550,0.0000,60.0680,7.8498,39.2490,7.8498,39.2490,0.8182
0,beat_maz_000035,76.3230,71.7010,0.0000,73.7970,10.6950,60.4280,10.6950,60.4280,1.8382
0,beat_maz_000036,47.0590,44.7020,0.0000,36.2470,1.2853,3.5990,3.5897,22.6800,0.9973
0,beat_maz_000037,91.2090,81.7500,0.0000,86.6490,12.0420,72.2510,12.0420,72.2510,1.3983
0,beat_maz_000038,77.7630,63.7770,0.0000,72.8570,2.6190,42.8570,2.6190,42.8570,0.7166
0,beat_maz_000039,90.4180,83.0500,0.0000,83.2910,8.6076,74.4300,8.6076,74.4300,1.6443
0,beat_maz_000040,67.9100,62.6060,0.0000,59.4250,6.3898,38.3390,6.3898,38.3390,0.9574
0,beat_maz_000041,55.1550,46.0400,0.0000,54.6300,3.2407,25.9260,3.2407,25.9260,0.6442
0,beat_maz_000042,77.6530,66.6150,0.0000,69.5360,5.5188,48.5650,5.5188,48.5650,0.7462
0,beat_maz_000043,74.7520,69.1340,0.0000,72.7920,8.8305,57.2790,8.8305,57.2790,1.5800
0,beat_maz_000044,75.3680,66.5790,0.0000,70.5430,5.8140,50.3880,5.8140,50.3880,1.1189
0,beat_maz_000045,68.3200,62.9640,0.0000,67.3910,4.3478,44.0220,4.3478,44.0220,1.2197
