*Fold,Track,F-Measure,Cemgil,Goto,McKinney P-score,CMLc,CMLt,AMLc,AMLt,D (bits)
0,beat_maz_000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,beat_maz_000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,beat_maz_000001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,beat_maz_000001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,beat_maz_000002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,beat_maz_000002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,beat_maz_000003,35.8600,32.5240,0.0000,45.1470,1.8059,21.4450,1.8059,21.4450,0.4956
0,beat_maz_000004,38.4910,31.2770,0.0000,40.5840,4.8701,13.9610,4.8701,13.9610,0.2864
0,beat_maz_000005,44.5780,40.0530,0.0000,48.7360,5.4152,29.2420,5.4152,29.2420,0.6200
0,beat_maz_000006,29.2930,23.2820,0.0000,36.3640,1.2685,11.4160,1.2685,11.4160,0.1854
0,beat_maz_000007,39.8950,32.7840,0.0000,39.5000,3.0000,12.5000,3.0000,12.5000,0.3098
0,beat_maz_000008,35.4430,32.6170,0.0000,36.3900,1.1461,11.1750,2.0115,12.6440,0.6319
0,beat_maz_000009,44.4130,36.7470,0.0000,44.8860,1.9886,25.8520,2.2792,25.8520,0.3800
0,beat_maz_000010,61.7560,54.5380,0.0000,69.2310,8.7912,48.3520,8.7912,48.3520,1.0666
0,beat_maz_000011,33.6490,29.3380,0.0000,41.0300,0.8881,11.7230,1.5986,11.7230,0.2350
0,beat_maz_000012,36.9310,31.7580,0.0000,44.9870,3.5990,25.9640,3.5990,25.9640,0.4438
0,beat_maz_000013,36.4910,29.0210,0.0000,35.8170,0.8596,9.7421,2.2676,9.7421,0.2587
0,beat_maz_000014,40.6940,35.5640,0.0000,48.9500,4.2017,29.6220,4.2017,29.6220,0.5304
0,beat_maz_000015,45.2690,41.8660,0.0000,34.5820,0.5764,2.0173,10.9380,27.0830,0.6415
0,beat_maz_000016,37.6240,34.0330,0.0000,35.1850,3.7037,19.4440,4.6729,19.4440,0.7473
0,beat_maz_000017,32.6750,30.1030,0.0000,33.9450,3.0581,15.9020,3.0581,15.9020,0.4676
0,beat_maz_000018,36.7910,34.2160,0.0000,43.6430,2.4055,19.2440,3.0928,19.2440,0.4672
0,beat_maz_000019,34.6830,29.1200,0.0000,37.1080,1.9164,12.8920,1.9164,12.8920,0.2041
0,beat_maz_000020,37.6960,33.0990,0.0000,47.8470,1.4354,12.4400,2.3188,12.4400,0.4737
0,beat_maz_000021,50.6940,47.4210,0.0000,39.7790,1.1050,1.1050,10.2800,30.8410,1.0101
0,beat_maz_000022,35.5190,29.9040,0.0000,37.7550,3.0612,16.8370,3.0612,16.8370,0.3727
0,beat_maz_000023,35.0000,31.2000,0.0000,39.4330,3.6082,15.7220,3.6082,15.7220,0.3665
0,beat_maz_000024,41.2150,36.1510,0.0000,31.8070,0.7059,8.4706,0.9434,9.4340,0.2678
0,beat_maz_000025,45.3720,40.1930,0.0000,37.0370,0.2849,0.2849,18.0000,43.0000,0.5574
0,beat_maz_000026,35.3280,31.1640,0.0000,44.4440,2.7778,19.4440,2.7778,19.4440,0.4902
0,beat_maz_000027,31.0700,26.7670,0.0000,39.6230,1.8868,10.1200,1.8868,10.1200,0.2149
0,beat_maz_000028,42.6860,35.6660,0.0000,41.4530,5.9829,21.7950,5.9829,21.7950,0.3766
0,beat_maz_000029,47.2960,38.8480,0.0000,45.9640,2.6906,23.7670,2.6906,23.7670,0.3861
0,beat_maz_000030,47.0800,40.9370,0.0000,36.3900,0.5731,1.7192,9.5477,36.1810,0.5753
0,beat_maz_000031,27.6640,26.5440,0.0000,35.2940,2.2624,12.2170,2.2624,15.4550,0.5160
0,beat_maz_000032,37.9700,32.2170,0.0000,41.5410,1.5038,18.6090,1.6917,18.6090,0.2741
0,beat_maz_000033,49.5600,39.7850,0.0000,49.8580,3.4188,30.4840,3.4188,30.4840,0.3476
0,beat_maz_000034,41.2960,36.0050,0.0000,46.6910,4.4118,25.0000,4.4118,25.0000,0.4005
0,beat_maz_000035,45.7970,40.7300,0.0000,58.3820,8.6705,35.2600,8.6705,35.2600,0.8605
0,beat_maz_000036,34.7830,30.6110,0.0000,44.8050,1.5152,17.3160,1.5152,17.3160,0.4117
0,beat_maz_000037,55.4030,46.1570,0.0000,49.8550,3.1792,28.9020,3.1884,28.9020,0.4938
0,beat_maz_000038,41.7520,36.2540,0.0000,42.6930,1.4327,20.3440,1.4368,20.3440,0.3532
0,beat_maz_000039,55.2380,51.9550,0.0000,40.4620,0.2890,0.2890,13.9660,40.7820,1.0948
0,beat_maz_000040,37.5290,35.1410,0.0000,41.2560,3.1390,19.2830,3.1390,19.2830,0.6845
0,beat_maz_000041,33.8240,26.0950,0.0000,43.6440,2.5424,8.0508,2.5424,8.0508,0.2410
0,beat_maz_000042,48.6710,40.2930,0.0000,49.5910,2.7248,28.0650,2.7248,28.0650,0.4125
0,beat_maz_000043,39.4770,35.9340,0.0000,53.2130,3.0848,33.4190,3.0848,33.4190,0.5932
0,beat_maz_000044,48.5780,40.1160,0.0000,51.6670,3.7500,28.3330,3.7500,28.3330,0.5108
0,beat_maz_000045,42.3730,35.8970,0.0000,42.3910,1.6304,19.5650,2.7322,19.5650,0.5270
0,beat_maz_000046,37.0020,33.9710,0.0000,41.1760,1.3575,17.6470,1.8182,17.6470,0.5357
0,beat_maz_000047,28.1610,25.9910,0.0000,31.1830,1.0753,10.7530,3.2432,11.3510,0.4234
0,beat_maz_000048,33.9960,30.1920,0.0000,40.7340,0.9652,12.1620,1.9305,12.1620,0.3378
0,beat_maz_000049,30.1750,25.2860,0.0000,36.9680,0.7979,3.5904,0.9032,17.4190,0.1542
0,beat_maz_000050,43.1510,36.9560,0.0000,36.5270,1.7964,11.3770,1.7964,11.3770,0.7409
0,beat_maz_000051,41.5480,38.0570,0.0000,46.3240,2.5735,25.7350,2.5735,25.7350,0.6514
0,beat_maz_000052,38.2640,32.9900,0.0000,43.7720,1.7794,22.7760,3.2028,22.7760,0.3167
0,beat_maz_000053,38.5470,32.7510,0.0000,44.7590,2.6622,12.9780,2.6622,14.7630,0.2717
0,beat_maz_000054,47.8580,40.5090,0.0000,49.5680,3.4582,31.1240,3.4582,31.1240,0.4767
0,beat_maz_000055,37.5430,33.5620,0.0000,48.5290,2.9412,23.9500,2.9412,23.9500,0.3835
0,beat_maz_000056,42.9380,40.7760,0.0000,46.4090,2.7624,25.4140,8.8398,25.4140,0.7534
0,beat_maz_000057,46.3220,38.6300,0.0000,52.0410,3.5714,32.1430,3.5714,32.1430,0.4687
0,beat_maz_000058,51.8930,42.9340,0.0000,53.9940,3.3058,29.4770,3.3058,29.4770,0.3924
0,beat_maz_000059,36.7730,32.4130,0.0000,46.4910,1.0965,21.0530,1.0965,21.0530,0.3729
0,beat_maz_000060,62.7910,53.5090,0.0000,64.2050,7.9545,49.4320,7.9545,49.4320,0.6821
0,beat_maz_000061,42.8180,38.7290,0.0000,48.4850,5.0505,29.7980,5.0505,29.7980,0.6663
0,beat_maz_000062,28.6490,25.0810,0.0000,44.8450,4.6392,18.5570,4.6392,18.5570,0.4198
0,beat_maz_000063,33.5680,29.8990,0.0000,42.9750,1.1570,11.0740,1.1570,11.2970,0.2772
0,beat_maz_000064,39.5650,34.6260,0.0000,48.5230,3.3755,29.5360,3.3755,29.5360,0.5610
0,beat_maz_000065,35.6460,28.6250,0.0000,46.1680,0.9124,13.6860,1.0296,13.6860,0.2072
0,beat_maz_000066,41.0960,36.9000,0.0000,34.5610,1.1331,3.9660,5.6277,15.1520,0.5844
0,beat_maz_000067,36.1700,32.5000,0.0000,41.3790,2.4631,16.7490,2.4631,16.7490,0.4857
0,beat_maz_000068,49.4880,39.5720,0.0000,46.5710,2.8571,30.0000,2.8571,30.0000,0.3193
0,beat_maz_000069,43.9360,38.3720,0.0000,40.9450,4.7244,18.5040,4.7244,18.5040,0.4350
0,beat_maz_000070,68.7070,58.4570,0.0000,68.1080,8.6486,53.5140,8.6486,53.5140,1.0119
0,beat_maz_000071,50.5380,47.2470,0.0000,40.1150,1.1461,3.7249,11.4830,34.4500,0.8735
0,beat_maz_000072,76.2200,66.8020,100.0000,80.0000,23.5290,66.4710,23.5290,66.4710,1.3652
0,beat_maz_000073,53.9880,44.9630,0.0000,39.2520,0.0000,0.0000,19.6430,48.2140,0.8388
0,beat_maz_000074,58.9240,51.6390,0.0000,60.3930,12.3600,50.2810,12.3600,50.2810,0.8599
0,beat_maz_000075,34.2270,30.6990,0.0000,38.0230,3.4221,21.2930,6.0837,22.8140,0.4157
0,beat_maz_000076,36.8480,33.5310,0.0000,43.8830,0.5825,17.6700,0.7782,17.6700,0.4823
0,beat_maz_000077,39.1040,35.8220,0.0000,46.8400,2.9740,23.0480,2.9740,23.0480,0.5336
0,beat_maz_000078,51.7110,49.1720,0.0000,38.0400,0.5764,1.1527,14.5250,46.9270,1.1695
0,beat_maz_000079,31.6080,28.2000,0.0000,41.4140,0.7215,5.4834,0.7722,15.8300,0.2126
0,beat_maz_000080,38.7430,34.7520,0.0000,45.4980,4.2654,19.4310,4.2654,19.4310,0.4994
0,beat_maz_000081,39.3160,35.1360,0.0000,39.5720,1.0695,13.9040,3.0488,13.9040,0.5891
