*Fold,Track,F-Measure,Cemgil,Goto,McKinney P-score,CMLc,CMLt,AMLc,AMLt,D (bits)
0,beat_maz_000000,62.4750,49.8660,0.0000,64.0150,8.3333,51.8940,8.3333,51.8940,0.8012
0,beat_maz_000001,40.6500,33.7550,0.0000,44.6700,6.5990,19.7970,6.5990,19.7970,0.3263
0,beat_maz_000002,48.8240,37.3970,0.0000,47.5410,2.7322,19.1260,2.7322,19.1260,0.4234
0,beat_maz_000003,42.3290,33.3950,0.0000,47.9210,2.7723,26.7330,2.7723,26.7330,0.3138
0,beat_maz_000004,46.8750,40.2720,0.0000,51.7700,5.3097,27.8760,7.9646,27.8760,0.6806
0,beat_maz_000005,51.2000,40.4560,0.0000,52.6880,2.5090,34.0500,2.5090,34.0500,0.4722
0,beat_maz_000006,39.3400,32.8120,0.0000,44.1180,3.6765,25.4900,3.6765,25.4900,0.3567
0,beat_maz_000007,56.8250,39.7650,0.0000,57.4590,4.9724,24.8620,5.0562,24.8620,0.5336
0,beat_maz_000008,50.7420,44.1770,0.0000,51.2890,2.8653,25.5010,3.3846,25.5010,0.5146
0,beat_maz_000009,65.8190,57.5300,0.0000,66.0110,4.4944,50.2810,4.4944,50.2810,0.8469
0,beat_maz_000010,67.0300,59.3190,0.0000,65.8160,9.6939,52.0410,9.6939,52.0410,1.0984
0,beat_maz_000011,45.4950,36.8120,0.0000,50.0000,2.2000,25.0000,2.2000,25.0000,0.3383
0,beat_maz_000012,54.9300,49.1320,0.0000,57.2350,4.5356,42.1170,4.5356,42.1170,0.8225
0,beat_maz_000013,31.5560,24.8990,0.0000,41.9210,2.1834,16.1570,2.6201,16.1570,0.1671
0,beat_maz_000014,53.5340,44.6850,0.0000,61.1810,9.2827,45.5700,9.2827,45.5700,0.6864
0,beat_maz_000015,53.4760,46.9010,0.0000,42.6510,2.5937,7.2046,10.2800,30.8410,0.5342
0,beat_maz_000016,54.1180,40.0550,0.0000,43.5190,0.0000,0.0000,25.8060,77.4190,0.8193
0,beat_maz_000017,27.2910,20.1670,0.0000,35.2490,1.1494,10.7280,1.1494,10.7280,0.2150
0,beat_maz_000018,31.7650,24.1440,0.0000,45.5170,4.4828,23.7930,4.4828,23.7930,0.2733
0,beat_maz_000019,22.7670,17.4410,0.0000,26.2210,1.0283,5.9126,1.9672,9.8361,0.0752
0,beat_maz_000020,39.3530,27.1170,0.0000,47.9800,1.5152,19.6970,1.5152,19.6970,0.3482
0,beat_maz_000021,45.3610,39.0920,0.0000,34.8070,1.1050,1.6575,10.0000,42.7270,0.7417
0,beat_maz_000022,61.7980,50.8130,0.0000,61.2900,6.4516,42.4730,7.5269,42.4730,0.8866
0,beat_maz_000023,25.0000,18.9980,0.0000,32.7320,0.7732,8.2474,5.4598,9.7701,0.0760
0,beat_maz_000024,44.7900,33.0540,0.0000,28.4340,0.2353,1.6471,5.9633,30.7340,0.2165
0,beat_maz_000025,72.0670,52.0340,0.0000,71.7810,4.1096,53.4250,4.1096,53.4250,0.8148
0,beat_maz_000026,44.2710,36.8750,0.0000,44.6010,5.6338,27.7000,5.6338,27.7000,0.4974
0,beat_maz_000027,35.8970,25.5390,0.0000,46.2690,1.7058,21.5350,1.7058,21.5350,0.1681
0,beat_maz_000028,62.3440,45.3590,0.0000,61.9270,4.5872,43.1190,4.5872,43.1190,0.6118
0,beat_maz_000029,45.9210,38.1810,0.0000,46.7050,2.2923,21.2030,2.2923,21.2030,0.3402
0,beat_maz_000030,46.9570,37.9890,0.0000,37.2490,0.8596,3.1519,8.8496,32.3010,0.4581
0,beat_maz_000031,35.5560,27.2990,0.0000,48.0350,2.6201,19.2140,2.6201,19.2140,0.1604
0,beat_maz_000032,39.7240,32.8790,0.0000,41.9430,1.7660,16.7770,1.7660,16.7770,0.3006
0,beat_maz_000033,44.3690,35.3770,0.0000,38.1770,1.4245,5.9829,9.7872,23.4040,0.2801
0,beat_maz_000034,66.5310,54.3030,0.0000,65.3140,5.9041,47.6010,5.9041,47.6010,0.8503
0,beat_maz_000035,65.1430,55.8340,0.0000,71.9100,8.9888,54.4940,8.9888,54.4940,1.0646
