*Fold,Track,F-Measure,Cemgil,Goto,McKinney P-score,CMLc,CMLt,AMLc,AMLt,D (bits)
0,beat_maz_000000,46.0630,39.6240,0.0000,43.7280,5.3763,33.3330,5.7348,33.3330,0.6092
0,beat_maz_000001,45.9460,36.7570,0.0000,45.4550,2.5253,19.1920,2.5253,19.1920,0.3081
0,beat_maz_000002,50.5880,41.9010,0.0000,51.3660,2.7322,22.9510,4.4586,22.9510,0.5067
0,beat_maz_000003,47.8370,40.6490,0.0000,49.0990,3.1532,29.7300,3.1532,29.7300,0.5459
0,beat_maz_000004,47.6820,39.4010,0.0000,51.9480,3.0303,29.4370,4.3290,29.4370,0.4677
0,beat_maz_000005,54.6530,48.4840,0.0000,49.6480,7.3944,36.9720,7.3944,36.9720,0.8413
0,beat_maz_000006,40.2710,35.4480,0.0000,42.0060,2.1944,15.3610,3.3088,15.3610,0.6110
0,beat_maz_000007,59.9570,46.2350,0.0000,50.3500,4.5455,24.8250,4.5455,24.8250,0.2910
0,beat_maz_000008,57.7220,47.1900,0.0000,56.6890,3.8549,33.1070,3.8549,33.1070,0.3171
0,beat_maz_000009,63.1720,51.3430,0.0000,59.1240,3.8929,40.6330,3.8929,40.6330,0.4956
0,beat_maz_000010,58.4450,49.7410,0.0000,55.9410,7.9208,38.6140,7.9208,38.6140,0.7085
0,beat_maz_000011,43.5240,35.0880,0.0000,45.8480,2.1661,20.0360,2.1661,20.0360,0.2555
0,beat_maz_000012,54.9110,46.3660,0.0000,53.2890,3.7281,36.1840,3.7281,36.1840,0.6939
0,beat_maz_000013,49.0490,40.4700,0.0000,46.2300,3.9344,28.8520,3.9344,28.8520,0.3416
0,beat_maz_000014,47.8910,40.9820,0.0000,47.7460,4.7131,31.7620,4.7131,31.7620,0.5302
0,beat_maz_000015,70.0650,55.6960,0.0000,62.4400,5.7416,41.6270,5.7416,41.6270,0.3993
0,beat_maz_000016,78.8140,65.4800,0.0000,75.7810,14.8440,64.0620,14.8440,64.0620,1.2074
0,beat_maz_000017,43.0590,40.4560,0.0000,33.4780,0.8696,2.1739,7.3171,17.0730,0.8627
0,beat_maz_000018,43.0700,37.2780,0.0000,44.5780,2.0080,25.3010,4.0161,25.3010,0.6306
0,beat_maz_000019,39.1040,34.2950,0.0000,36.2470,0.5141,5.3985,3.9146,15.3020,0.4260
0,beat_maz_000020,35.5420,32.4100,0.0000,39.3060,2.8902,15.0290,2.8902,15.0290,0.6686
0,beat_maz_000021,72.4220,61.1110,0.0000,63.1360,8.0508,44.9150,8.0508,44.9150,0.7480
0,beat_maz_000022,46.8400,42.9090,0.0000,37.0590,1.7647,4.7059,10.1010,32.3230,0.9190
0,beat_maz_000023,43.1840,34.4530,0.0000,41.8440,5.8156,12.9080,5.8156,16.5160,0.1831
0,beat_maz_000024,63.3530,48.2950,0.0000,52.2730,1.8182,32.5000,1.8182,32.5000,0.1949
0,beat_maz_000025,72.0110,59.1660,0.0000,68.7800,6.5854,55.3660,6.5854,55.3660,0.6401
0,beat_maz_000026,42.0000,36.2860,0.0000,43.2310,4.3668,24.4540,4.3668,24.4540,0.4641
0,beat_maz_000027,49.0430,40.6790,0.0000,50.1120,4.6980,29.7540,4.6980,29.7540,0.5562
0,beat_maz_000028,53.0710,45.9700,0.0000,48.6610,4.4643,34.3750,4.4643,34.3750,0.7159
0,beat_maz_000029,62.4840,52.2560,0.0000,59.7220,3.2407,41.8980,3.2407,41.8980,0.4974
0,beat_maz_000030,65.6450,51.5430,0.0000,57.3730,3.6866,39.1710,3.6866,39.1710,0.3511
0,beat_maz_000031,39.6400,37.3090,0.0000,29.8640,0.9050,1.3575,7.1429,29.4640,0.8416
0,beat_maz_000032,50.8170,40.5690,0.0000,46.9950,2.6194,21.7260,2.6194,21.7260,0.2374
0,beat_maz_000033,72.0840,60.5590,0.0000,67.7180,4.3689,52.9130,4.3689,52.9130,0.6382
0,beat_maz_000034,46.0650,36.3340,0.0000,45.4850,6.3545,24.7490,6.3545,24.7490,0.3180
0,beat_maz_000035,62.9830,56.4760,0.0000,63.1580,7.8947,48.4210,7.8947,48.4210,1.1570
0,beat_maz_000036,42.5030,35.3510,0.0000,47.0440,1.0283,19.0230,1.0283,19.0230,0.5402
0,beat_maz_000037,63.4880,52.1400,0.0000,58.5050,7.9897,42.2680,7.9897,42.2680,0.3398
0,beat_maz_000038,53.6770,42.9260,0.0000,51.1740,2.5822,24.6480,2.5822,24.6480,0.2025
0,beat_maz_000039,80.6450,65.9960,0.0000,70.3520,12.3120,63.3170,12.3120,63.3170,0.8914
0,beat_maz_000040,45.5560,37.2660,0.0000,42.9020,4.1009,23.0280,4.1009,23.0280,0.3048
0,beat_maz_000041,39.2960,32.5710,0.0000,50.5810,2.3256,20.3490,4.1420,20.3490,0.3963
0,beat_maz_000042,58.6900,46.1660,0.0000,53.8120,4.4843,32.7350,4.4843,32.7350,0.2633
0,beat_maz_000043,46.9720,41.3680,0.0000,48.0950,3.3333,33.5710,3.3333,33.5710,0.6151
0,beat_maz_000044,47.2800,38.0100,0.0000,44.8280,2.2989,26.4370,3.4483,26.4370,0.2957
0,beat_maz_000045,53.0430,45.5860,0.0000,46.7390,6.1594,22.1010,6.1594,22.1010,0.3865
0,beat_maz_000046,50.0990,43.0720,0.0000,48.9510,2.7972,30.0700,3.1469,30.0700,0.4640
0,beat_maz_000047,47.5410,39.4120,0.0000,48.3870,2.6882,23.6560,3.2432,23.6560,0.4648
0,beat_maz_000048,49.5770,41.6890,0.0000,53.9860,2.7335,35.5350,2.7335,35.5350,0.4755
0,beat_maz_000049,37.2700,32.9750,0.0000,40.7220,1.8041,16.4950,1.8041,16.4950,0.5894
0,beat_maz_000050,62.1250,53.6610,0.0000,56.0000,9.5000,46.0000,9.5000,46.0000,0.7038
0,beat_maz_000051,54.0430,47.8410,0.0000,51.0420,4.5139,35.0690,4.5139,35.0690,0.7476
0,beat_maz_000052,51.8960,43.3810,0.0000,52.7270,3.6364,30.5450,3.6364,30.5450,0.5091
0,beat_maz_000053,44.3040,38.7730,0.0000,47.7500,2.0000,25.7500,2.0000,25.7500,0.5889
0,beat_maz_000054,55.6150,44.9250,0.0000,53.3670,5.4863,39.4010,5.4863,39.4010,0.3454
0,beat_maz_000055,50.7430,42.1540,0.0000,55.5820,3.3254,34.6790,3.3254,34.6790,0.4462
0,beat_maz_000056,44.0220,38.7840,0.0000,44.1030,3.5897,21.0260,7.6923,21.0260,0.6652
0,beat_maz_000057,57.3680,47.8850,0.0000,53.1100,6.6986,36.3640,6.6986,36.3640,0.4804
0,beat_maz_000058,63.7530,53.7360,0.0000,59.5790,5.6075,41.8220,5.6075,41.8220,0.5112
0,beat_maz_000059,42.5400,38.9650,0.0000,36.6930,1.0336,4.6512,1.2346,16.8720,0.6705
0,beat_maz_000060,62.0880,50.8610,0.0000,58.1630,5.6122,44.8980,5.6122,44.8980,0.5465
0,beat_maz_000061,43.6840,39.0320,0.0000,44.9760,4.3062,26.7940,4.7847,26.7940,0.7915
0,beat_maz_000062,41.7340,37.2900,0.0000,47.6680,4.1451,23.8340,5.1813,23.8340,0.7420
0,beat_maz_000063,44.9640,41.4900,0.0000,40.5130,2.3077,13.8460,2.3077,13.8460,0.8804
0,beat_maz_000064,48.7800,41.9380,0.0000,49.8140,4.0892,32.7140,4.0892,32.7140,0.6205
0,beat_maz_000065,47.0050,36.0850,0.0000,50.3130,4.3841,31.7330,4.3841,31.7330,0.3104
0,beat_maz_000066,58.9810,44.3520,0.0000,53.5030,3.8217,26.9640,3.8217,26.9640,0.1816
0,beat_maz_000067,38.2980,36.4470,0.0000,26.0120,0.5780,0.5780,3.4884,10.4650,0.8597
0,beat_maz_000068,53.2170,46.4570,0.0000,43.1430,1.1429,6.0000,11.1110,24.4440,0.7648
0,beat_maz_000069,48.1650,39.3880,0.0000,44.2690,4.7431,23.3200,5.5336,23.3200,0.2984
0,beat_maz_000070,74.6030,64.5600,0.0000,70.0250,7.8624,57.9850,7.8624,57.9850,0.9518
0,beat_maz_000071,66.7500,54.3240,0.0000,56.9840,5.7650,39.6900,5.7650,39.6900,0.4443
0,beat_maz_000072,60.1560,57.3060,0.0000,45.2940,1.7647,1.7647,33.7210,45.3490,1.8912
0,beat_maz_000073,55.9140,48.3040,0.0000,47.6640,0.0000,0.0000,15.1900,39.2410,0.8639
0,beat_maz_000074,77.9430,70.0370,0.0000,75.3210,12.8530,66.5810,12.8530,66.5810,1.1355
0,beat_maz_000075,42.2130,36.1350,0.0000,46.6170,3.0075,31.2030,3.0075,31.2030,0.4306
0,beat_maz_000076,37.3520,31.8640,0.0000,36.9570,1.3043,20.8700,2.1739,23.9130,0.4026
0,beat_maz_000077,45.4550,37.1400,0.0000,50.3820,4.5802,29.7710,4.5802,29.7710,0.3441
0,beat_maz_000078,79.5670,69.2420,0.0000,74.4900,12.5000,64.2860,12.5000,64.2860,0.9666
0,beat_maz_000079,41.9440,37.3720,0.0000,41.1310,1.5424,15.6810,2.4169,15.6810,0.6646
0,beat_maz_000080,39.2430,32.1260,0.0000,35.7140,1.9841,18.6510,3.9683,18.6510,0.4372
0,beat_maz_000081,51.4850,47.0820,0.0000,42.2460,1.6043,8.0214,6.8966,24.1380,0.9074
0,beat_maz_000082,53.2770,43.0650,0.0000,45.6450,5.5749,24.0420,5.5749,24.0420,0.6263
0,beat_maz_000083,45.1090,41.5560,0.0000,44.8450,7.2165,27.8350,7.2165,27.8350,0.6102
0,beat_maz_000084,49.4020,43.7060,0.0000,47.7720,5.9406,30.6930,5.9406,30.6930,0.4075
0,beat_maz_000085,42.2660,33.0270,0.0000,45.1980,2.4482,26.1770,2.4482,26.1770,0.2658
0,beat_maz_000086,77.6200,69.9500,0.0000,75.2750,11.5380,61.5380,11.5380,61.5380,1.6072
0,beat_maz_000087,51.7710,46.4340,0.0000,51.4140,3.5990,27.5060,3.5990,27.5060,0.8010
0,beat_maz_000088,49.1140,42.2930,0.0000,44.9070,7.4074,31.4810,7.4074,31.4810,0.6303
0,beat_maz_000089,43.9640,36.1410,0.0000,41.4410,3.0030,18.3180,3.0030,18.3180,0.3231
0,beat_maz_000090,59.3070,47.5800,0.0000,52.0930,3.4884,34.1860,3.4884,34.1860,0.3361
0,beat_maz_000091,35.7720,32.4450,0.0000,26.5900,0.5780,1.1561,3.4884,12.7910,0.6869
0,beat_maz_000092,59.1700,49.2710,0.0000,56.7840,3.2663,39.1960,3.2663,39.1960,0.4344
0,beat_maz_000093,40.7310,37.6940,0.0000,36.8180,1.8182,7.2727,2.4540,15.9510,0.6868
0,beat_maz_000094,46.7210,39.7590,0.0000,44.0300,5.2239,30.5970,5.2239,30.5970,0.4599
0,beat_maz_000095,58.4550,49.4700,0.0000,57.1430,6.9498,44.0150,6.9498,44.0150,0.6558
0,beat_maz_000096,39.4820,38.6380,0.0000,27.9280,0.0000,0.0000,2.7027,10.8110,0.9002
0,beat_maz_000097,53.4650,43.4000,0.0000,52.2970,6.7138,36.3960,6.7138,36.3960,0.5805
0,beat_maz_000098,70.8220,62.0140,0.0000,73.1840,11.1730,53.6310,11.1730,53.6310,1.3239
0,beat_maz_000099,68.7920,57.1360,0.0000,62.1620,6.8796,49.1400,6.8796,49.1400,0.4860
0,beat_maz_000100,49.4570,44.0660,0.0000,60.3090,4.6392,41.2370,4.6392,41.2370,0.7753
0,beat_maz_000101,51.9690,49.5460,0.0000,38.8240,0.0000,0.0000,25.8820,62.3530,1.3949
0,beat_maz_000102,52.1400,47.3640,0.0000,38.4390,1.1561,2.3121,2.3121,21.3870,0.8483
0,beat_maz_000103,57.8200,47.5400,0.0000,49.7930,6.6390,31.5350,6.6390,31.5350,0.5014
0,beat_maz_000104,44.3640,41.5210,0.0000,32.1340,0.2571,0.5141,2.5641,14.8720,0.8527
0,beat_maz_000105,51.9720,40.8290,0.0000,46.1990,2.1442,21.6370,2.1442,21.6370,0.1776
0,beat_maz_000106,43.0000,39.6370,0.0000,44.6430,1.7857,12.9460,2.8409,13.6360,0.7996
0,beat_maz_000107,59.2040,44.7640,0.0000,50.4390,3.7281,29.8250,3.7281,29.8250,0.2814
0,beat_maz_000108,67.9040,53.5180,0.0000,61.0780,5.5888,42.3150,5.5888,42.3150,0.3823
0,beat_maz_000109,45.4730,38.9320,0.0000,44.4040,6.4982,33.5740,6.4982,33.5740,0.4678
0,beat_maz_000110,34.9650,32.6550,0.0000,23.3640,0.0000,0.0000,1.8868,1.8868,0.8392
0,beat_maz_000111,34.6670,28.3200,0.0000,30.1800,0.9009,4.9550,3.2680,16.3400,0.3364
0,beat_maz_000112,59.7530,45.1370,0.0000,51.1930,2.8200,27.9830,2.8200,27.9830,0.1996
0,beat_maz_000113,43.5200,36.6970,0.0000,39.2550,0.8596,8.0229,1.8116,10.8700,0.3854
0,beat_maz_000114,44.7260,36.4400,0.0000,40.6900,2.7586,15.5170,3.1034,15.5170,0.3907
0,beat_maz_000115,50.2950,41.1370,0.0000,47.4050,3.1142,30.4500,3.1142,30.4500,0.4896
0,beat_maz_000116,54.5450,45.3000,0.0000,50.0000,6.4103,35.0430,6.4103,35.0430,0.5951
0,beat_maz_000117,39.3750,37.5210,0.0000,28.5070,0.9050,0.9050,2.7273,10.9090,0.8949
0,beat_maz_000118,49.3220,43.0030,0.0000,48.1480,4.5752,29.1940,4.5752,29.1940,0.5019
0,beat_maz_000119,63.2150,57.5560,0.0000,64.0620,9.8958,50.5210,9.8958,50.5210,1.3859
0,beat_maz_000120,50.6380,42.1680,0.0000,52.0000,11.6000,39.6000,11.6000,39.6000,0.6465
0,beat_maz_000121,43.4620,34.3550,0.0000,41.3330,2.3333,21.6670,2.3333,21.6670,0.2592
0,beat_maz_000122,43.6590,35.7210,0.0000,47.0050,3.6866,31.1060,3.6866,31.1060,0.2656
0,beat_maz_000123,48.2220,39.4100,0.0000,46.0040,3.7037,25.9260,3.7037,25.9260,0.3596
0,beat_maz_000124,49.1710,43.2140,0.0000,50.0000,8.8542,28.1250,8.8542,28.1250,0.6230
0,beat_maz_000125,59.5740,52.2420,0.0000,56.5400,7.5949,39.6620,7.5949,39.6620,0.6900
0,beat_maz_000126,51.3940,44.3030,0.0000,51.7860,5.7143,35.0000,5.7143,35.0000,0.5718
0,beat_maz_000127,45.8000,37.9020,0.0000,45.1140,2.7027,21.8300,2.7027,21.8300,0.3748
0,beat_maz_000128,44.6150,37.6460,0.0000,46.1540,5.6856,25.7530,5.6856,25.7530,0.3836
0,beat_maz_000129,56.4520,46.6210,0.0000,54.2120,8.4249,40.2930,8.4249,40.2930,0.5511
0,beat_maz_000130,71.1000,61.6830,0.0000,64.3870,10.8490,54.2450,10.8490,54.2450,0.6466
0,beat_maz_000131,49.4070,40.8180,0.0000,47.1630,5.3191,32.6240,5.3191,32.6240,0.6276
0,beat_maz_000132,79.6660,69.3130,100.0000,76.4400,23.0370,65.4450,23.0370,65.4450,1.1459
0,beat_maz_000133,74.1600,63.7270,0.0000,68.7940,9.2199,56.5010,9.2199,56.5010,0.8036
0,beat_maz_000134,71.2870,63.4110,0.0000,68.3490,9.6330,59.6330,9.6330,59.6330,1.3196
0,beat_maz_000135,52.9480,45.8800,0.0000,52.0920,4.3933,37.6570,4.3933,37.6570,0.6563
0,beat_maz_000136,40.9090,31.6050,0.0000,40.0000,2.5806,19.0320,2.5806,19.0320,0.2331
0,beat_maz_000137,45.7450,41.3620,0.0000,38.3930,1.7857,5.3571,6.5789,30.2630,0.9423
0,beat_maz_000138,61.3170,53.5020,0.0000,58.7120,6.4394,46.9700,6.4394,46.9700,0.8534
