*Fold,Track,F-Measure,Cemgil,Goto,McKinney P-score,CMLc,CMLt,AMLc,AMLt,D (bits)
0,beat_mck_000000,76.8230,58.4030,47.5000,83.2550,47.6400,67.7510,59.6310,85.5280,2.1510
0,beat_mck_000001,75.6730,60.2460,40.0000,71.9730,43.1250,47.5200,86.2720,91.3660,2.3785
0,beat_mck_000002,63.9340,46.1630,0.0000,75.3170,30.1320,62.5110,34.8170,70.7940,1.4269
0,beat_mck_000003,63.1160,47.7270,22.5000,67.4530,36.9250,45.1070,61.6330,72.1780,1.8575
0,beat_mck_000004,84.7770,66.7010,47.5000,85.5680,55.8140,74.3610,70.2900,89.8850,2.2374
0,beat_mck_000005,53.7040,41.0700,22.5000,56.6530,18.8980,28.4320,26.6220,41.1430,1.8541
0,beat_mck_000006,62.0150,47.1100,10.0000,61.9230,15.6920,28.7690,36.4230,70.5000,1.6343
0,beat_mck_000007,75.4550,60.4810,40.0000,74.1440,45.2890,49.9590,88.6480,93.7430,2.4883
0,beat_mck_000008,75.4440,57.7090,42.5000,78.1360,48.7900,60.0480,72.5670,86.2550,2.1291
0,beat_mck_000009,87.1790,67.9910,62.5000,88.2290,68.8020,76.3020,87.7080,95.6770,2.5980
0,beat_mck_000010,59.1250,41.5460,10.0000,56.5760,11.6810,18.7190,46.0660,70.8060,2.0726
0,beat_mck_000011,72.2490,53.3200,62.5000,85.5130,69.6690,73.4860,90.6680,95.7070,2.6924
0,beat_mck_000012,82.7240,63.5090,50.0000,84.6880,51.3840,70.0000,71.9640,91.8300,2.2790
0,beat_mck_000013,48.2860,36.5470,5.0000,48.5380,5.4615,10.8080,23.3810,43.8400,1.5138
0,beat_mck_000014,26.5390,19.8790,0.0000,36.1760,0.2040,0.3438,3.8514,5.4947,1.5683
0,beat_mck_000015,61.7860,45.2670,5.0000,60.5510,11.1020,25.1270,51.1440,78.8980,1.8470
0,beat_mck_000016,65.2630,48.6730,47.5000,78.6690,46.7780,61.7930,61.6510,79.2250,2.2154
0,beat_mck_000017,63.4270,46.6980,42.5000,68.2410,33.3800,48.6110,34.7220,51.2500,2.1140
0,beat_mck_000018,80.0860,61.4780,45.0000,80.9770,41.3570,60.5140,63.2860,90.3830,2.1608
0,beat_mck_000019,64.2480,48.8820,37.5000,69.9390,39.6810,50.6270,43.6150,56.3170,1.6132
0,beat_mck_000020,39.7400,29.2230,2.5000,56.2060,12.9610,20.4610,37.5850,58.9100,1.5075
0,beat_mck_000021,30.5930,22.4760,0.0000,47.4390,1.5854,3.5976,24.4470,50.2260,1.2850
0,beat_mck_000022,45.3790,31.8900,12.5000,54.7670,15.2420,27.1380,15.6260,29.0220,1.6876
0,beat_mck_000023,38.5780,27.9100,5.0000,47.5880,7.3049,15.1020,7.5164,16.0680,1.5898
0,beat_mck_000024,62.7200,47.0850,51.2820,88.4590,69.5370,78.2570,75.2950,85.1210,2.5573
0,beat_mck_000025,41.4030,30.1170,37.5000,66.6430,33.8590,39.2930,61.4920,74.4270,1.9554
0,beat_mck_000026,70.1360,51.8900,32.5000,77.1410,41.3680,59.8930,55.6060,79.4630,1.8155
0,beat_mck_000027,69.2930,53.8820,17.5000,59.4410,11.5290,23.3820,43.7000,77.2790,1.7032
0,beat_mck_000028,89.4700,72.5080,62.5000,91.1000,64.2980,83.4730,71.8420,91.0170,2.4211
0,beat_mck_000029,81.1540,60.9050,52.5000,84.1670,56.0190,69.0740,74.0280,90.9260,2.3740
0,beat_mck_000030,62.6620,46.5750,15.0000,63.1050,15.6450,31.7740,40.3760,71.6100,1.6633
0,beat_mck_000031,85.7950,67.7780,62.5000,86.6960,47.8650,71.2650,58.1380,87.8280,2.1252
0,beat_mck_000032,79.0830,60.1880,60.0000,87.4690,64.4340,75.6340,76.2660,89.2930,2.5858
0,beat_mck_000033,78.2070,60.3160,57.5000,83.0160,59.9180,67.8180,85.2950,93.8130,2.6009
0,beat_mck_000034,4.3502,3.2090,0.0000,15.7970,0.1449,0.2899,35.6880,46.9930,1.6563
0,beat_mck_000035,84.9290,66.7020,47.5000,86.6240,37.4010,70.8030,41.9770,78.5650,1.8678
0,beat_mck_000036,78.8950,59.7670,42.5000,80.4410,32.6280,65.9350,34.2590,69.3280,1.7157
0,beat_mck_000037,78.7500,60.3220,37.5000,79.3680,30.2220,60.0130,39.5190,74.9980,1.6938
0,beat_mck_000038,79.1440,62.1020,45.0000,79.7800,32.1440,64.1890,38.2860,76.1680,1.5114
0,beat_mck_000039,47.7350,35.1510,27.5000,71.1510,27.7960,43.7260,54.9320,76.9150,2.1787
0,beat_mck_000040,50.0450,35.2170,32.5000,70.2380,46.9090,54.0030,56.5720,64.7070,1.9710
0,beat_mck_000041,56.0070,41.5830,15.0000,59.0570,12.8300,20.9430,50.8410,74.6380,1.9898
0,beat_mck_000042,54.5950,39.7270,27.5000,70.6280,36.2980,47.2750,67.6720,81.9380,2.2239
0,beat_mck_000043,78.2080,60.8780,35.0000,75.7240,26.0530,51.9410,41.4470,77.7940,1.7902
0,beat_mck_000044,64.1170,51.1380,20.0000,55.1860,18.6300,21.3160,86.1300,91.3160,1.7830
0,beat_mck_000045,63.4350,48.5010,32.5000,58.3400,25.6510,43.1570,29.7430,52.6670,0.9971
0,beat_mck_000046,75.0470,55.4310,52.5000,85.3200,56.2860,71.4290,73.2140,90.1430,2.5018
0,beat_mck_000047,71.6310,54.9320,45.0000,74.1540,51.0420,53.8890,83.9580,87.2220,2.4186
0,beat_mck_000048,84.2260,64.8510,65.0000,88.9580,70.5360,80.8330,83.4520,93.3930,2.5989
0,beat_mck_000049,61.2960,48.4830,2.5641,49.8970,1.9747,6.4250,37.7840,72.5320,1.7819
0,beat_mck_000050,37.8280,27.4420,7.5000,57.6420,21.1860,32.4220,44.6440,61.9620,1.5696
0,beat_mck_000051,13.2340,9.2370,7.5000,22.7540,6.9915,10.8050,49.6930,59.2070,2.0219
0,beat_mck_000052,69.7470,53.1470,30.0000,73.8790,37.5480,53.2690,59.9520,81.0100,2.0464
0,beat_mck_000053,65.2420,49.1240,46.1540,74.8640,48.2070,53.2110,87.6070,93.3010,2.3355
0,beat_mck_000054,46.2330,33.1380,20.0000,64.3290,31.8180,41.2880,49.0150,66.5150,1.8560
0,beat_mck_000055,51.5010,41.6080,0.0000,40.4470,2.7614,3.9211,71.4720,82.4860,1.7376
0,beat_mck_000056,45.6250,33.9750,0.0000,34.1800,3.0518,3.6879,35.0510,50.1270,0.7083
0,beat_mck_000057,32.9730,23.1490,2.5000,50.7240,1.5132,3.6842,32.2990,56.0590,1.5621
0,beat_mck_000058,50.5760,39.3200,5.0000,39.5560,4.1768,4.6313,83.8280,88.7010,1.9340
0,beat_mck_000059,60.7290,47.0850,7.5000,48.5810,10.5820,17.0470,66.5650,83.0360,1.5267
0,beat_mck_000060,53.0050,41.7030,0.0000,40.4120,0.7279,1.8587,78.2240,84.8050,1.5401
0,beat_mck_000061,87.4170,69.9580,60.0000,84.1430,40.5090,74.2030,40.8950,75.0660,1.7119
0,beat_mck_000062,62.2220,48.1610,15.0000,54.3290,16.4500,20.7680,73.7130,85.9220,1.5239
0,beat_mck_000063,43.0380,30.1900,12.5000,55.9940,12.1790,18.0770,46.4620,69.2820,1.8629
0,beat_mck_000064,30.6540,22.0010,5.0000,63.7630,23.3050,40.1500,30.2080,51.4290,1.5903
0,beat_mck_000065,80.7930,62.1100,50.0000,81.4040,36.9100,71.0380,41.4190,77.1190,1.6598
