*Fold,Track,F-Measure,Cemgil,Goto,McKinney P-score,CMLc,CMLt,AMLc,AMLt,D (bits)
0,beat_mck_000000,78.7420,61.0360,42.5000,83.6710,50.0470,69.9730,63.4270,87.7510,2.1603
0,beat_mck_000001,22.6850,17.8680,0.0000,18.2120,0.3988,0.7036,76.3620,81.6640,2.2169
0,beat_mck_000002,54.0210,39.6640,7.5000,66.2500,27.6350,54.6470,32.0280,61.5810,1.0726
0,beat_mck_000003,63.2460,48.3510,22.5000,67.4330,39.0280,45.5650,63.8830,72.8850,1.8806
0,beat_mck_000004,84.0570,66.0040,50.0000,85.3260,55.5950,73.2320,70.0310,88.7960,2.2415
0,beat_mck_000005,53.6670,41.2000,25.0000,56.2290,20.0850,28.9410,29.1020,41.7880,1.8080
0,beat_mck_000006,20.9200,15.6740,0.0000,19.6990,0.8570,1.4039,73.5940,83.9840,2.0539
0,beat_mck_000007,72.3820,56.7700,37.5000,73.1720,45.7180,49.6790,88.6480,93.4500,2.2688
0,beat_mck_000008,74.9770,57.9760,37.5000,77.9370,47.7020,60.0990,70.7860,86.3220,2.1316
0,beat_mck_000009,86.6510,66.0510,57.5000,88.3330,66.8230,76.1980,85.7290,95.5730,2.6418
0,beat_mck_000010,61.0900,44.9170,17.5000,56.9380,13.8540,20.1680,48.0600,73.1980,2.0650
0,beat_mck_000011,53.1810,39.9390,5.0000,54.2310,7.4038,12.6440,55.0080,73.6290,1.7545
0,beat_mck_000012,81.3230,61.9320,50.0000,84.1070,52.9020,68.6160,71.6520,90.2680,2.2855
0,beat_mck_000013,46.4250,35.2740,2.5000,47.4360,5.1250,10.0660,23.3990,42.0930,1.4165
0,beat_mck_000014,31.4800,23.3830,0.0000,38.0510,0.6882,2.7477,1.0104,3.3680,1.3220
0,beat_mck_000015,59.2860,44.9180,5.0000,59.8310,10.0850,24.6190,44.6610,77.5000,1.7548
0,beat_mck_000016,27.3030,20.0290,0.0000,32.4070,0.1724,0.2586,1.7599,2.7082,1.5861
0,beat_mck_000017,64.7030,48.4710,32.5000,68.6890,30.0390,49.5950,31.2660,52.3310,1.9994
0,beat_mck_000018,29.2470,20.9450,17.5000,45.2590,12.8880,25.6470,23.6210,40.6470,1.1229
0,beat_mck_000019,10.8560,8.1758,0.0000,19.2690,0.3408,0.6559,24.6640,39.1400,1.5523
0,beat_mck_000020,30.8120,22.7550,0.0000,39.7860,0.5520,1.5584,6.3853,16.3250,0.7004
0,beat_mck_000021,19.3380,14.4730,0.0000,41.5440,0.5749,1.6569,15.6020,24.7540,0.9098
0,beat_mck_000022,46.8090,33.7370,20.0000,54.5700,17.1260,27.3390,17.6050,29.3190,1.7199
0,beat_mck_000023,28.0710,21.0120,5.0000,44.8040,5.2451,11.8630,6.5584,13.1640,1.2193
0,beat_mck_000024,34.4950,25.5340,0.0000,45.4590,0.9820,2.1822,40.8540,54.7620,1.1232
0,beat_mck_000025,24.5120,17.9600,0.0000,43.7330,2.2109,5.9748,13.8410,30.1050,0.9971
0,beat_mck_000026,53.9300,39.9960,17.5000,68.1520,32.0730,47.9710,43.7690,63.4930,1.3688
0,beat_mck_000027,24.2170,18.5230,2.5000,20.5660,4.6834,6.1066,84.6330,89.9820,2.1564
0,beat_mck_000028,25.1260,18.8560,2.5000,27.2300,21.3680,23.3930,53.0600,59.3530,1.4668
0,beat_mck_000029,82.9460,63.7800,57.5000,84.4440,58.8430,70.0000,79.3060,93.0560,2.3469
0,beat_mck_000030,55.2390,40.8050,10.0000,59.0730,14.2340,28.1450,35.4580,64.3790,1.5371
0,beat_mck_000031,86.3000,68.9070,62.5000,86.7340,48.4110,71.9960,58.9190,88.9500,2.1988
0,beat_mck_000032,78.3090,59.7660,60.0000,87.4690,63.3600,76.0400,75.9240,89.9420,2.5673
0,beat_mck_000033,78.6430,60.8930,60.0000,82.8740,61.6280,68.3440,87.0060,94.3400,2.6344
0,beat_mck_000034,30.8910,23.4430,0.0000,35.6110,1.8781,4.0638,2.7598,5.3262,1.0211
0,beat_mck_000035,85.9600,69.3240,55.0000,87.1010,39.9990,73.1850,44.2660,81.0850,1.8645
0,beat_mck_000036,82.9830,64.9980,52.5000,83.3800,40.2110,70.6840,41.9090,74.4610,1.7249
0,beat_mck_000037,78.1170,61.1750,42.5000,78.7880,30.1180,61.5360,39.6220,76.4360,1.6851
0,beat_mck_000038,58.2330,46.2600,2.5000,47.5320,7.8334,9.0641,79.1990,84.9690,1.4869
0,beat_mck_000039,35.7330,26.0720,0.0000,46.8650,5.3045,10.0220,20.1880,37.0530,1.3137
0,beat_mck_000040,34.8960,25.0350,0.0000,45.4630,2.7601,6.5293,18.7610,40.8680,0.9592
0,beat_mck_000041,53.4840,40.4350,17.5000,57.5000,12.9250,20.0940,49.3590,72.3790,1.7215
0,beat_mck_000042,26.9280,20.0590,2.5000,44.0750,4.8426,8.2734,19.0710,29.5550,0.8292
0,beat_mck_000043,55.0990,44.1680,12.5000,47.0640,14.3150,14.9830,80.0100,87.6420,1.9345
0,beat_mck_000044,56.2890,43.6530,10.0000,49.5240,19.0090,19.9470,80.0720,84.7590,1.4967
0,beat_mck_000045,36.0380,26.5600,0.0000,30.3340,0.6956,1.0775,2.4876,5.1370,0.6555
0,beat_mck_000046,75.4430,58.0440,52.5000,85.4990,60.2860,72.7860,77.2860,91.6430,2.5106
0,beat_mck_000047,59.6180,46.0400,12.5000,54.8590,13.6970,20.1060,42.9930,66.5850,1.7215
0,beat_mck_000048,84.3500,65.5930,62.5000,89.9050,73.3100,82.1790,86.4200,94.9840,2.6126
0,beat_mck_000049,6.9890,5.3701,0.0000,5.5163,0.5828,0.5828,81.5850,85.1980,2.4533
0,beat_mck_000050,17.2750,12.8810,0.0000,36.8800,2.0391,3.8724,5.6583,10.6580,0.7743
0,beat_mck_000051,12.5750,8.8069,5.0000,22.1240,5.2119,10.1150,47.0580,58.6300,2.0256
0,beat_mck_000052,30.9240,22.2850,0.0000,44.6740,18.8460,25.5290,30.7690,40.5290,1.1687
0,beat_mck_000053,43.2210,32.0330,5.1282,54.7010,14.2920,24.6440,34.3780,57.5500,1.1102
0,beat_mck_000054,12.8670,9.2337,0.0000,38.5030,0.2680,0.3624,3.1163,4.5939,0.7777
0,beat_mck_000055,52.2810,42.2370,0.0000,40.8180,2.8239,3.8206,72.9790,83.8120,1.7003
0,beat_mck_000056,65.8870,49.3610,7.5000,56.5780,11.4150,36.0080,13.8020,40.6700,0.6598
0,beat_mck_000057,12.3560,8.4837,0.0000,39.7160,0.4546,1.1364,7.7841,15.4650,0.7778
0,beat_mck_000058,52.0270,41.3790,5.0000,40.1850,4.1768,4.5177,85.9210,88.9940,1.9055
0,beat_mck_000059,48.4800,38.4740,2.5000,35.6540,4.4041,5.3416,71.5360,83.3510,1.4537
0,beat_mck_000060,57.1780,45.6490,2.5000,44.9430,3.1373,5.4171,77.8030,85.2700,1.5706
0,beat_mck_000061,55.0850,42.4740,0.0000,40.0430,0.1224,0.2170,75.7780,81.9330,1.5159
0,beat_mck_000062,70.2440,54.6010,35.0000,67.8500,22.6190,47.1480,33.3070,63.9820,1.1330
0,beat_mck_000063,25.2190,18.4900,0.0000,39.5000,0.4375,1.2500,4.0938,11.1880,0.5637
0,beat_mck_000064,15.7670,12.1080,0.0000,40.4520,0.1779,0.6681,9.3378,17.1900,0.7351
0,beat_mck_000065,53.5540,41.1950,35.0000,53.6060,28.8770,44.9910,31.3500,46.9240,0.8056
0,beat_mck_000066,58.7020,44.9100,15.0000,54.3750,10.1560,18.3200,42.3050,68.2030,1.8940
0,beat_mck_000067,26.2370,19.1580,0.0000,47.5220,4.2141,10.1340,23.6530,46.7320,1.3951
0,beat_mck_000068,16.7940,12.2040,0.0000,40.9900,0.4688,0.4688,1.5398,1.7179,0.7765
0,beat_mck_000069,65.3930,49.0620,28.2050,71.4690,33.0540,47.6920,58.1820,80.6530,2.0201
0,beat_mck_000070,42.7140,30.8030,0.0000,55.5690,13.8790,28.8180,25.0870,51.1300,1.0819
0,beat_mck_000071,42.8680,31.2990,10.0000,48.0300,8.8636,18.1820,8.9773,18.2950,1.5718
0,beat_mck_000072,39.4710,28.6020,5.0000,51.8970,4.6121,12.1120,27.1920,54.8940,1.7679
0,beat_mck_000073,62.5250,46.9360,12.5000,57.7690,13.9590,17.8150,61.0740,82.8230,2.0316
0,beat_mck_000074,42.1480,34.7060,2.5000,35.5860,5.6387,6.7068,78.4140,86.0250,2.0018
