*Fold,Track,F-Measure,Cemgil,Goto,McKinney P-score,CMLc,CMLt,AMLc,AMLt,D (bits)
0,beat_mck_000000,78.5550,60.6420,45.0000,83.5330,49.0290,69.8340,62.1770,87.4730,2.1439
0,beat_mck_000001,22.6660,17.9330,0.0000,18.5340,0.3988,0.7646,76.8880,81.2700,2.2402
0,beat_mck_000002,55.4700,40.9590,5.0000,67.2950,28.0780,55.8120,32.3450,62.8800,1.1503
0,beat_mck_000003,58.9640,44.4540,25.0000,66.0440,34.0940,43.5520,58.1090,70.7450,1.8594
0,beat_mck_000004,61.2540,47.0760,12.5000,51.7570,12.9140,13.9310,91.9350,94.1940,2.2087
0,beat_mck_000005,51.4000,39.7970,22.5000,55.5930,20.5930,28.0930,29.1220,40.8110,1.8123
0,beat_mck_000006,20.9630,16.0240,0.0000,19.8140,0.8570,1.5601,75.8590,84.1410,2.0434
0,beat_mck_000007,70.4740,55.2740,40.0000,71.3050,43.3360,48.2480,85.8100,91.3700,2.3511
0,beat_mck_000008,75.1800,58.1220,40.0000,78.0890,48.2020,59.8040,71.7330,86.0260,2.1641
0,beat_mck_000009,86.2060,65.7680,57.5000,88.2810,67.5520,76.1980,86.4580,95.5730,2.6075
0,beat_mck_000010,58.5090,42.2280,12.5000,56.2540,9.9878,18.8010,45.2160,70.5250,2.0673
0,beat_mck_000011,52.0360,38.6570,5.0000,53.2920,7.4416,12.0040,56.7660,75.7870,1.9082
0,beat_mck_000012,82.8660,64.1530,50.0000,84.7770,50.7140,70.3130,71.2950,92.1870,2.3218
0,beat_mck_000013,43.9630,33.4170,7.5000,47.3190,6.2097,10.2590,22.3450,40.2640,1.3853
0,beat_mck_000014,31.8860,23.3070,0.0000,37.7440,0.6498,2.5944,0.9335,3.1114,1.3542
0,beat_mck_000015,56.5900,42.6570,5.0000,58.3470,10.1270,23.5170,46.6530,75.0420,1.7705
0,beat_mck_000016,26.1090,18.9640,0.0000,32.1280,0.1724,0.3448,1.6737,2.7082,1.5953
0,beat_mck_000017,63.8910,48.2180,40.0000,68.9240,36.8120,50.3900,38.0380,53.1730,2.1049
0,beat_mck_000018,39.2270,27.1620,15.0000,62.5260,18.3140,35.4380,26.6160,50.4480,1.7585
0,beat_mck_000019,29.8080,21.6920,0.0000,40.0210,16.2010,19.9670,22.8030,27.9070,1.0503
0,beat_mck_000020,28.6670,20.7740,7.5000,47.7170,9.2584,13.0870,28.4350,38.0530,1.2615
0,beat_mck_000021,15.3900,11.7020,0.0000,40.0060,0.4464,1.1397,12.4880,21.3490,0.9556
0,beat_mck_000022,44.3830,31.5580,12.5000,54.6680,14.6980,26.4970,15.0820,28.5200,1.6748
