*Fold,Track,F-Measure,Cemgil,Goto,McKinney P-score,CMLc,CMLt,AMLc,AMLt,D (bits)
0,beat_mck_000000,78.1070,59.6750,50.0000,83.3470,49.2600,68.8620,62.4080,86.5930,2.1506
0,beat_mck_000001,75.5440,60.4420,40.0000,71.8940,42.7410,47.5200,85.8880,91.3660,2.3971
0,beat_mck_000002,43.0940,31.2080,2.5000,51.6290,29.5660,42.3870,36.1320,50.1420,1.0451
0,beat_mck_000003,64.1880,48.7490,25.0000,67.8260,39.1300,45.6250,63.8940,72.6390,1.9046
0,beat_mck_000004,84.8130,66.8830,47.5000,85.4880,55.7330,74.4820,70.2090,90.0060,2.2453
0,beat_mck_000005,54.1110,41.3200,25.0000,56.8640,18.8980,28.3470,26.6640,41.2920,1.8918
0,beat_mck_000006,66.3040,51.0990,27.5000,72.0700,38.7120,50.6820,72.2730,85.6820,2.2224
0,beat_mck_000007,76.7480,61.2780,40.0000,74.2900,45.2890,50.1000,88.6480,93.9500,2.5202
0,beat_mck_000008,49.9110,38.2140,0.0000,43.5000,0.0250,0.0250,18.4910,44.4700,1.2447
0,beat_mck_000009,87.3350,67.8060,57.5000,88.2810,67.8120,76.2500,86.7190,95.6250,2.6158
0,beat_mck_000010,73.1400,51.9240,45.0000,79.2160,57.3440,60.6580,90.7760,94.0900,2.7150
0,beat_mck_000011,73.0840,53.8300,62.5000,85.3680,69.1880,73.3900,90.1870,95.6110,2.7477
0,beat_mck_000012,82.8140,63.5290,52.5000,84.4640,55.3570,70.0000,74.9110,91.8300,2.3363
0,beat_mck_000013,50.5650,38.1460,5.0000,48.5380,6.5000,11.4620,29.1890,46.8800,1.6402
0,beat_mck_000014,26.5780,19.9800,0.0000,36.1380,0.2040,0.3438,4.3021,5.8697,1.5364
0,beat_mck_000015,64.7350,48.1030,5.0000,61.6530,13.6860,26.8220,56.7800,81.8640,2.0350
0,beat_mck_000016,66.8260,49.5390,45.0000,79.2940,48.3120,62.1340,63.1360,79.3700,2.2250
0,beat_mck_000017,63.6400,46.8750,42.5000,68.2870,34.2130,48.8430,35.5560,51.5280,2.1207
0,beat_mck_000018,82.0910,62.9810,50.0000,81.0190,46.8910,62.0820,72.0220,92.6960,2.2434
0,beat_mck_000019,64.0300,48.4560,35.0000,69.8560,39.7740,50.6180,43.6280,56.2730,1.5991
0,beat_mck_000020,43.4280,31.7360,7.5000,57.2920,11.3160,21.2500,37.0810,61.8910,1.5809
0,beat_mck_000021,41.8560,29.9570,7.5000,74.4320,44.5520,59.7920,54.8330,72.0080,2.0794
0,beat_mck_000022,46.7210,32.9300,17.5000,54.7160,15.9860,27.3360,16.3700,29.3570,1.7071
0,beat_mck_000023,38.8440,28.5760,7.5000,48.2330,7.4049,15.3480,7.6164,16.4050,1.6000
0,beat_mck_000024,62.4940,47.0470,51.2820,88.4590,69.5370,78.1460,75.2950,85.1120,2.5314
0,beat_mck_000025,38.5140,26.9860,12.5000,64.2150,25.8150,35.7070,50.9200,69.7830,1.8840
0,beat_mck_000026,51.4500,38.1160,15.0000,62.1570,32.4520,45.6670,43.7490,59.8590,1.1143
0,beat_mck_000027,69.3030,53.8750,20.0000,59.6460,12.8690,23.3430,45.2990,77.6020,1.7240
0,beat_mck_000028,56.0190,45.2510,0.0000,43.3930,0.2568,0.2568,87.1520,91.3480,2.3389
0,beat_mck_000029,81.7560,62.1460,55.0000,84.2590,56.6670,69.3980,75.0460,91.6670,2.3810
0,beat_mck_000030,57.9620,42.7030,10.0000,58.4520,14.8410,29.4440,35.4440,65.5310,1.3424
0,beat_mck_000031,86.6770,68.6570,60.0000,86.8890,51.0560,72.3840,61.5640,89.3370,2.1917
0,beat_mck_000032,79.0400,60.2380,60.0000,87.4700,64.3730,75.7500,76.2050,89.4700,2.6007
0,beat_mck_000033,78.4740,60.4230,60.0000,82.9640,59.9180,67.8180,85.2950,93.8130,2.6137
0,beat_mck_000034,4.0505,2.7241,0.0000,12.4530,1.1919,2.0490,5.5714,11.5000,2.0850
0,beat_mck_000035,86.7160,69.3330,55.0000,87.0290,41.3030,73.4890,45.3640,81.3200,1.8761
0,beat_mck_000036,81.8910,63.8940,47.5000,83.7130,39.6760,69.8040,41.2890,73.4830,1.7605
0,beat_mck_000037,79.1470,61.2480,37.5000,79.8300,31.2850,61.1690,40.9860,76.0080,1.7587
0,beat_mck_000038,80.2290,63.3680,37.5000,80.4850,35.1030,65.4680,41.2130,77.4390,1.4993
0,beat_mck_000039,19.2060,14.4320,0.0000,40.6400,5.4432,6.5827,17.7300,22.5950,1.0859
0,beat_mck_000040,50.4670,35.7970,32.5000,70.4380,46.9090,54.1030,56.5640,64.8000,1.9868
0,beat_mck_000041,68.4140,51.4720,52.5000,82.3350,59.6220,66.0200,82.8330,92.1050,2.6286
0,beat_mck_000042,55.3730,40.1490,27.5000,70.6340,36.6820,47.2780,67.8650,81.7740,2.2191
0,beat_mck_000043,54.8130,42.3410,12.5000,46.7330,14.3810,15.0490,79.7470,86.9840,1.9490
0,beat_mck_000044,64.3630,51.8030,20.0000,55.4700,18.7550,21.3780,86.7550,91.5030,1.8353
0,beat_mck_000045,63.5110,47.5710,27.5000,58.2320,23.0820,42.4750,27.2720,51.7670,0.9566
0,beat_mck_000046,75.4750,56.8280,50.0000,85.4280,59.0000,72.4290,75.9290,91.1430,2.5281
0,beat_mck_000047,72.4820,55.2020,45.0000,74.3280,50.3470,53.8890,83.2640,87.2920,2.3997
0,beat_mck_000048,85.3160,65.6230,62.5000,90.0540,72.3230,82.1170,85.2500,94.8610,2.6063
0,beat_mck_000049,61.9490,49.3790,2.5641,49.8670,2.1515,6.4545,41.2020,73.8580,1.8129
0,beat_mck_000050,38.3370,28.7560,5.0000,58.5300,21.8830,33.6130,43.8950,63.0910,1.6107
0,beat_mck_000051,12.8720,9.2172,7.5000,22.5420,7.3729,10.7630,50.0320,59.0370,2.0203
0,beat_mck_000052,33.7570,26.2530,0.0000,38.6830,24.0870,26.1060,42.9330,45.9620,1.3284
0,beat_mck_000053,64.1330,47.4970,28.2050,66.0380,25.2540,35.8010,57.9100,79.9230,1.8898
0,beat_mck_000054,47.2670,33.9710,15.0000,64.8590,31.8180,41.4390,49.6210,66.6670,1.8929
0,beat_mck_000055,51.9650,42.2660,0.0000,40.7640,2.7614,3.8668,72.9720,83.0490,1.7858
0,beat_mck_000056,47.1880,35.5680,0.0000,35.1140,3.0309,5.1152,32.8380,48.6220,0.6940
0,beat_mck_000057,40.6930,28.7380,42.5000,81.5960,56.8580,68.5130,70.9220,83.4930,2.2939
0,beat_mck_000058,50.9700,39.5780,5.0000,39.6220,4.1768,4.5745,84.4090,88.7610,1.9373
0,beat_mck_000059,60.8370,47.8020,10.0000,48.6310,10.6860,17.2550,66.6110,83.5440,1.5540
0,beat_mck_000060,84.0510,67.1140,52.5000,82.0500,42.9040,71.7710,45.1250,76.7700,1.6535
0,beat_mck_000061,87.6910,70.8530,65.0000,84.4600,45.3900,75.2930,45.7170,76.2150,1.6966
0,beat_mck_000062,58.6190,45.6930,7.5000,50.9020,16.4500,19.5180,69.6100,80.0780,1.3663
0,beat_mck_000063,44.0600,31.2130,17.5000,56.3140,13.3330,18.4620,48.9620,69.9870,1.8962
0,beat_mck_000064,26.6290,19.2150,2.5000,55.4700,22.6320,34.5570,30.1190,45.6920,1.4562
0,beat_mck_000065,81.5920,62.7500,55.0000,81.9230,38.9690,71.6750,43.6470,77.6890,1.6911
0,beat_mck_000066,74.1240,56.3860,52.5000,75.9980,53.9840,56.3280,89.9340,92.5900,2.6078
0,beat_mck_000067,44.7670,32.3380,40.0000,74.8590,42.2620,60.4760,56.5480,79.6430,2.2229
0,beat_mck_000068,48.6400,35.7150,5.0000,67.4890,25.5120,38.0390,55.2560,78.2930,1.8756
0,beat_mck_000069,72.2140,54.5350,38.4620,74.7790,36.8300,52.3540,66.4340,86.5730,2.0959
0,beat_mck_000070,50.8530,37.5160,7.5000,60.4160,18.5870,33.8000,36.1260,60.6930,1.5229
0,beat_mck_000071,46.1710,33.8320,7.5000,49.4700,10.0380,19.4700,10.1520,19.5830,1.6076
0,beat_mck_000072,56.4980,41.8520,7.5000,57.6290,9.3103,17.3280,49.3420,73.1570,1.9605
0,beat_mck_000073,77.8840,58.2200,60.0000,85.2190,70.0090,71.2990,93.4570,95.2640,2.6773
0,beat_mck_000074,59.6600,47.7060,17.5000,55.1910,18.8210,24.5260,76.2560,86.3850,2.0752
0,beat_mck_000075,88.4660,71.0150,57.5000,87.7790,46.6510,77.4370,49.1190,80.2300,1.8170
0,beat_mck_000076,63.0420,46.5140,60.0000,91.0730,73.1910,83.3810,79.4420,89.7070,2.5650
0,beat_mck_000077,24.4630,18.1540,0.0000,18.3890,3.4738,9.2917,23.8150,52.7910,0.9375
0,beat_mck_000078,25.7370,18.5200,2.5000,55.9600,26.3700,40.9040,32.4200,49.5370,1.5382
0,beat_mck_000079,29.0110,20.7200,0.0000,48.7830,6.6552,13.4970,20.5520,37.8330,1.2421
0,beat_mck_000080,79.7140,62.2590,52.5000,83.7260,51.6040,68.0190,68.6200,87.1750,2.1537
0,beat_mck_000081,47.7160,34.7060,2.5000,46.2120,3.0682,7.5000,21.5810,39.7030,1.8589
0,beat_mck_000082,77.7950,60.0070,52.5000,87.0500,56.2000,74.9000,65.3820,86.6730,2.3091
0,beat_mck_000083,70.4080,53.3470,57.5000,76.2700,58.0760,61.2490,92.8420,96.1010,2.5962
0,beat_mck_000084,21.4130,15.7980,7.5000,24.4980,11.2440,16.3640,56.1310,65.6230,1.4789
0,beat_mck_000085,86.5900,67.2300,67.5000,90.4540,70.5760,80.0610,86.6630,97.0180,2.5847
0,beat_mck_000086,81.3090,63.1060,67.5000,88.4150,61.7070,76.8290,77.3780,93.3540,2.6277
0,beat_mck_000087,57.7510,41.8000,25.6410,65.9460,24.8770,36.3880,49.8520,71.4350,2.1567
0,beat_mck_000088,71.4000,55.2520,42.5000,71.6070,27.8210,51.9640,36.8310,63.0830,1.7594
0,beat_mck_000089,77.7450,62.9510,57.5000,81.4340,55.3190,62.4470,85.2130,93.4570,2.6043
0,beat_mck_000090,63.5550,49.4860,35.0000,61.5530,27.5470,51.3270,37.8640,68.7870,1.2463
0,beat_mck_000091,37.8080,27.0850,2.5000,39.8710,2.3276,6.8534,2.6960,7.2885,1.5299
0,beat_mck_000092,77.2650,58.6420,52.5000,80.0220,47.6140,64.0230,65.4090,83.2730,2.1289
0,beat_mck_000093,68.4490,49.7200,60.0000,84.4920,63.1030,70.7760,87.7590,95.8620,2.7822
0,beat_mck_000094,78.7840,61.7810,46.1540,82.8900,52.9090,68.7870,68.8740,87.9940,2.2895
0,beat_mck_000095,69.9440,51.6210,40.0000,78.0110,39.7960,60.5040,54.4640,79.8670,1.8560
0,beat_mck_000096,30.9280,21.7210,12.5000,51.5020,10.0690,15.0030,26.2190,42.7490,1.3805
0,beat_mck_000097,78.7290,60.4130,62.5000,81.5480,60.8950,66.5850,88.3230,95.6570,2.5749
0,beat_mck_000098,88.6010,69.1310,75.0000,92.0310,75.4470,83.0890,86.6410,96.3390,2.5731
0,beat_mck_000099,76.0650,60.6350,33.3330,72.0350,31.7710,46.1140,64.9590,87.3030,2.1320
0,beat_mck_000100,83.0420,63.3300,70.0000,87.7340,66.0420,75.8850,78.9580,92.6560,2.4046
0,beat_mck_000101,80.1730,61.8120,55.0000,86.5580,64.3440,77.7410,74.3640,87.9570,2.3369
0,beat_mck_000102,82.9320,64.1410,62.5000,87.8990,64.1330,75.9690,77.5000,94.0310,2.3657
0,beat_mck_000103,84.3740,68.4990,57.5000,82.0900,58.8930,65.8200,86.1890,93.6070,2.3881
0,beat_mck_000104,78.7730,59.6830,65.0000,89.2170,73.5090,80.1040,85.4320,92.8600,2.3574
0,beat_mck_000105,76.0400,57.6360,55.0000,78.9220,46.1270,60.3430,65.0000,83.9710,2.3863
0,beat_mck_000106,80.5070,63.2280,50.0000,79.8380,48.4250,61.9170,73.1520,91.0400,2.3825
