*Fold,Track,F-Measure,Cemgil,Goto,McKinney P-score,CMLc,CMLt,AMLc,AMLt,D (bits)
0,smc_001,50.6020,37.9850,0.0000,50.9090,0.0000,0.0000,69.0910,94.5450,1.5920
0,smc_002,37.8950,29.3920,0.0000,33.3330,0.0000,0.0000,0.0000,0.0000,1.6400
0,smc_003,36.3640,31.2870,0.0000,37.3490,0.0000,0.0000,18.0720,50.6020,0.7372
0,smc_004,34.5680,31.5340,0.0000,37.5000,6.2500,12.5000,12.5000,18.4620,1.1445
0,smc_005,31.8840,23.7710,0.0000,50.0000,0.0000,0.0000,60.8700,78.2610,1.2113
0,smc_006,48.7800,46.8560,0.0000,50.0000,2.1739,4.3478,11.2680,26.7610,1.6528
0,smc_007,31.7460,23.8440,0.0000,45.4550,18.1820,39.3940,18.1820,39.3940,1.3069
0,smc_008,35.3850,29.2540,0.0000,32.9110,0.0000,0.0000,0.0000,0.0000,1.3624
0,smc_009,38.1680,27.4750,0.0000,33.6730,0.0000,0.0000,0.0000,0.0000,1.1964
0,smc_010,86.6670,74.0910,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,2.5876
0,smc_011,75.4720,67.5170,0.0000,80.0000,36.3640,69.0910,36.3640,69.0910,1.9308
0,smc_012,31.3730,27.0640,0.0000,50.9800,31.3730,43.1370,31.3730,43.1370,0.7675
0,smc_013,96.3640,75.3770,0.0000,96.4290,96.4290,96.4290,96.4290,96.4290,2.5164
0,smc_014,97.7780,75.7350,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,2.6008
0,smc_015,23.0090,21.0350,0.0000,36.9570,0.0000,0.0000,0.0000,0.0000,0.7133
0,smc_016,31.6830,28.2820,0.0000,36.6670,0.0000,0.0000,0.0000,0.0000,1.2220
0,smc_017,85.7140,64.8100,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,2.5197
0,smc_018,30.4350,24.1110,0.0000,36.7350,20.4080,26.5310,20.4080,26.5310,0.6942
0,smc_019,50.7040,33.9040,0.0000,47.9170,0.0000,0.0000,31.2500,83.3330,1.4618
0,smc_021,24.7190,21.7090,0.0000,30.1890,0.0000,0.0000,2.7778,2.7778,0.6321
0,smc_022,51.1630,45.6390,0.0000,47.9170,10.4170,27.0830,10.4170,27.0830,1.6385
0,smc_023,36.5380,31.5920,0.0000,27.7110,0.0000,0.0000,0.0000,0.0000,1.3395
0,smc_024,63.4920,56.1110,0.0000,53.3330,18.6670,21.3330,18.6670,23.5290,1.3621
0,smc_026,47.1910,32.7490,0.0000,48.3330,0.0000,0.0000,61.6670,86.6670,1.5640
0,smc_027,83.7840,63.0200,100.0000,100.0000,81.0810,97.2970,81.0810,97.2970,2.3471
0,smc_028,44.8980,31.6360,0.0000,38.7100,1.6129,1.6129,13.8890,33.3330,0.8440
0,smc_030,52.1740,41.2090,0.0000,36.2070,0.0000,0.0000,17.2410,29.3100,0.9842
0,smc_032,57.8950,44.2930,0.0000,40.7410,16.6670,16.6670,48.1480,48.1480,2.5109
0,smc_033,56.0750,46.0630,0.0000,81.4810,22.2220,74.0740,22.2220,74.0740,1.3334
