*Fold,Track,F-Measure,Cemgil,Goto,McKinney P-score,CMLc,CMLt,AMLc,AMLt,D (bits)
0,smc_001,11.2360,9.0197,0.0000,42.6230,0.0000,0.0000,4.9180,16.3930,1.1083
0,smc_002,35.4170,24.2640,0.0000,34.4830,0.0000,0.0000,2.6667,4.0000,1.2387
0,smc_003,33.8710,28.8560,0.0000,40.6980,0.0000,0.0000,13.9530,44.1860,0.5994
0,smc_004,37.7360,30.8860,0.0000,42.4660,0.0000,0.0000,13.6990,49.3150,0.8747
0,smc_005,17.6470,11.7280,0.0000,38.9380,0.0000,0.0000,0.0000,0.0000,0.2495
0,smc_006,40.6780,39.0610,0.0000,45.1220,9.7561,12.1950,9.7561,12.1950,0.7340
0,smc_007,22.8570,15.9080,0.0000,38.6670,0.0000,0.0000,8.0000,16.0000,0.4052
0,smc_008,25.0000,16.8770,0.0000,29.6300,22.2220,25.9260,22.2220,59.2590,0.6663
0,smc_009,31.1110,26.0110,0.0000,45.6140,0.0000,0.0000,18.4620,30.7690,0.6948
0,smc_010,59.5740,46.6240,0.0000,75.5100,57.1430,61.2240,57.1430,61.2240,1.3876
0,smc_011,47.2730,39.1880,0.0000,42.1050,0.0000,0.0000,13.1580,53.5090,0.7218
0,smc_012,32.6920,25.2500,0.0000,45.2830,30.1890,39.6230,30.1890,39.6230,0.5635
0,smc_013,54.1670,40.5420,0.0000,52.2730,17.0450,17.0450,24.3240,37.8380,0.6081
0,smc_014,60.7840,48.5530,0.0000,61.4040,40.3510,40.3510,40.3510,40.3510,1.1342
0,smc_015,22.0340,21.5050,0.0000,40.2060,0.0000,0.0000,0.0000,0.0000,0.4934
0,smc_016,25.4900,20.2190,0.0000,44.2620,1.6393,1.6393,2.4691,3.7037,0.6598
0,smc_017,28.0990,17.2470,0.0000,40.5060,0.0000,0.0000,15.6630,27.7110,0.5008
0,smc_018,31.2060,23.5030,0.0000,42.3910,0.0000,0.0000,7.2165,26.8040,0.4247
0,smc_019,16.9490,11.1400,0.0000,37.8950,0.0000,0.0000,0.0000,0.0000,0.4154
0,smc_021,17.8860,14.5510,0.0000,34.2860,5.7143,12.8570,12.8570,20.0000,0.4954
0,smc_022,44.9610,37.2190,0.0000,38.4620,0.0000,0.0000,10.9890,42.8570,0.6631
0,smc_023,32.6920,27.6500,0.0000,32.5300,0.0000,0.0000,0.0000,0.0000,1.3053
0,smc_024,62.5700,55.1220,0.0000,55.7690,18.2690,32.6920,18.2690,32.6920,1.1239
0,smc_026,15.3850,9.9450,0.0000,38.6140,0.0000,0.0000,0.0000,0.0000,0.4163
0,smc_027,14.6340,10.3450,0.0000,40.6980,0.0000,0.0000,5.8140,17.4420,0.3133
0,smc_028,50.3700,38.0250,0.0000,54.7950,16.4380,43.8360,16.4380,43.8360,0.7260
0,smc_030,32.0440,21.3520,0.0000,23.2760,0.0000,0.0000,10.7690,30.7690,0.3286
0,smc_032,51.7990,35.7710,100.0000,56.4710,24.7060,24.7060,24.7060,24.7060,0.5336
0,smc_033,31.5790,24.9850,0.0000,42.4240,3.0303,5.0505,4.7619,15.2380,0.3761
