*Fold,Track,F-Measure,Cemgil,Goto,McKinney P-score,CMLc,CMLt,AMLc,AMLt,D (bits)
0,smc_001,30.9520,22.7040,0.0000,50.0000,0.0000,0.0000,21.4290,75.0000,1.4744
0,smc_002,33.6840,25.2660,0.0000,33.3330,0.0000,0.0000,0.0000,0.0000,1.1465
0,smc_003,35.2940,23.4180,0.0000,44.4440,0.0000,0.0000,14.8150,48.1480,0.9700
0,smc_004,33.8980,23.0630,0.0000,40.0000,0.0000,0.0000,8.2353,28.2350,0.5015
0,smc_005,19.1490,14.5040,0.0000,36.6200,0.0000,0.0000,0.0000,0.0000,0.4403
0,smc_006,42.1050,38.8400,0.0000,46.1540,12.8210,12.8210,12.8210,12.8210,0.6797
0,smc_007,45.1610,31.5180,0.0000,47.6190,0.0000,0.0000,22.2220,73.0160,1.0141
0,smc_008,38.1680,32.8240,0.0000,31.6460,0.0000,0.0000,0.0000,0.0000,1.2858
0,smc_009,38.1680,25.1060,0.0000,33.6730,0.0000,0.0000,0.0000,0.0000,1.1632
0,smc_010,65.1690,50.6280,100.0000,84.4440,71.1110,77.7780,71.1110,77.7780,1.7198
0,smc_011,46.7290,41.4070,0.0000,51.7860,16.0710,37.5000,16.0710,37.5000,1.1777
0,smc_012,44.2310,32.7560,0.0000,69.8110,26.4150,60.3770,26.4150,60.3770,0.8704
0,smc_013,67.2570,53.8260,0.0000,91.2280,40.3510,85.9650,40.3510,85.9650,1.6275
0,smc_014,70.9680,51.9000,0.0000,81.2500,50.0000,77.0830,50.0000,77.0830,1.5557
0,smc_015,21.6220,18.2440,0.0000,40.0000,0.0000,0.0000,0.0000,0.0000,0.5364
0,smc_016,31.3730,23.8030,0.0000,40.9840,0.0000,0.0000,2.4691,2.4691,1.0260
0,smc_017,29.7030,17.7660,0.0000,44.0680,1.6949,1.6949,1.6949,1.6949,0.7364
0,smc_018,32.4320,26.6750,0.0000,43.4340,0.0000,0.0000,11.1110,42.4240,0.3689
0,smc_019,20.3390,14.3770,0.0000,34.7370,0.0000,0.0000,0.0000,0.0000,0.4248
0,smc_021,12.8440,10.5710,0.0000,32.1430,8.9286,23.2140,19.6430,30.3570,0.6399
0,smc_022,25.0000,20.2500,0.0000,35.3660,0.0000,0.0000,4.8780,21.9510,0.3988
0,smc_023,23.5290,21.8630,0.0000,35.8020,0.0000,0.0000,0.0000,0.0000,0.9988
0,smc_024,51.2000,36.7980,0.0000,44.0000,16.0000,18.6670,18.0000,32.0000,0.7888
0,smc_026,35.9550,24.5090,0.0000,48.3330,0.0000,0.0000,30.0000,78.3330,1.5442
0,smc_027,36.1900,21.6730,0.0000,44.1180,0.0000,0.0000,15.0680,34.2470,0.5138
0,smc_028,35.2940,27.2900,0.0000,47.2970,10.8110,28.3780,10.8110,28.3780,0.5685
0,smc_030,37.2340,31.1880,0.0000,28.4480,0.0000,0.0000,9.7222,15.2780,0.4810
0,smc_032,32.7870,22.1350,0.0000,50.0000,23.5290,32.3530,23.5290,32.3530,0.5375
0,smc_033,18.4620,13.4480,0.0000,44.1560,2.5974,3.8961,2.8571,3.8961,0.3867
0,smc_034,48.6490,39.2590,0.0000,48.6490,0.0000,0.0000,31.0810,78.3780,1.1979
0,smc_035,49.0200,33.0580,0.0000,50.0000,0.0000,0.0000,23.5290,80.8820,1.8818
0,smc_036,55.5560,41.2750,0.0000,50.0000,0.0000,0.0000,72.2220,93.0560,1.6306
0,smc_037,25.4900,21.7430,0.0000,41.1760,0.0000,0.0000,14.7060,45.5880,0.6830
0,smc_038,37.8380,33.4020,0.0000,44.0000,0.0000,0.0000,12.0000,54.6670,0.8258
0,smc_041,19.7800,14.7510,0.0000,38.0000,12.0000,22.0000,12.0000,22.0000,0.5378
0,smc_042,55.0000,44.7670,0.0000,50.9430,0.0000,0.0000,86.7920,98.1130,1.9563
0,smc_043,33.9290,30.3270,0.0000,54.8390,9.6774,25.8060,9.6774,25.8060,0.8034
0,smc_044,39.4160,29.2940,0.0000,42.5530,0.0000,0.0000,10.6380,45.7450,0.5796
0,smc_046,5.2632,3.7246,0.0000,21.0530,0.0000,0.0000,2.6316,3.9474,1.2250
0,smc_047,30.0000,21.3530,0.0000,49.0200,25.4900,43.1370,25.4900,43.1370,0.7579
0,smc_048,30.9520,16.9730,0.0000,35.9380,0.0000,0.0000,0.0000,0.0000,0.5859
0,smc_051,38.0950,29.7620,0.0000,44.1180,0.0000,0.0000,35.6160,53.4250,0.8992
0,smc_052,31.7760,24.5260,0.0000,55.5560,11.1110,48.1480,11.1110,48.1480,0.9789
0,smc_054,61.1110,43.4020,0.0000,46.5750,0.0000,0.0000,87.6710,91.7810,2.0071
0,smc_055,26.2630,17.3190,0.0000,36.6670,0.0000,0.0000,0.0000,0.0000,0.9633
0,smc_056,26.5730,19.5810,0.0000,46.9880,1.2048,1.2048,1.2048,1.2048,0.2952
0,smc_057,26.9230,19.8390,0.0000,46.3770,0.0000,0.0000,21.7390,44.9280,0.6191
0,smc_058,17.3910,12.5620,0.0000,44.6430,0.0000,0.0000,1.4085,1.4085,0.3185
0,smc_059,50.0000,33.3440,0.0000,45.1220,0.0000,0.0000,34.9400,71.0840,1.1538
0,smc_060,38.3330,24.4380,0.0000,48.1010,0.0000,0.0000,16.0490,56.7900,1.1348
0,smc_061,33.3330,26.0240,0.0000,46.9390,0.0000,0.0000,57.1430,67.3470,0.9474
0,smc_063,89.3200,68.8890,100.0000,98.0770,98.0770,98.0770,98.0770,98.0770,2.1220
0,smc_064,0.0000,0.0082,0.0000,43.1370,0.0000,0.0000,0.0000,0.0000,1.8018
