*Fold,Track,F-Measure,Cemgil,Goto,McKinney P-score,CMLc,CMLt,AMLc,AMLt,D (bits)
0,smc_001,75.0000,54.8870,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,2.6049
0,smc_002,39.4740,24.4430,0.0000,35.9650,0.0000,0.0000,0.0000,0.0000,0.8266
0,smc_003,38.0170,32.8200,0.0000,44.5780,0.0000,0.0000,14.4580,50.6020,0.6990
0,smc_004,31.9330,27.0970,0.0000,39.5350,0.0000,0.0000,12.7910,29.0700,0.5657
0,smc_005,37.6810,28.2330,0.0000,50.0000,0.0000,0.0000,78.2610,82.6090,1.5414
0,smc_006,64.6150,59.7910,0.0000,61.1110,22.2220,41.6670,22.2220,41.6670,2.5122
0,smc_007,27.9570,23.8150,0.0000,44.4440,0.0000,0.0000,23.8100,52.3810,0.8343
0,smc_008,37.8790,30.6090,0.0000,34.1770,0.0000,0.0000,0.0000,0.0000,1.5260
0,smc_009,41.2210,28.9000,0.0000,33.6730,0.0000,0.0000,0.0000,0.0000,1.3288
0,smc_010,93.3330,76.6260,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,2.8271
0,smc_011,37.7360,32.6340,0.0000,38.1820,12.7270,29.0910,12.7270,29.0910,1.1378
0,smc_012,34.6150,25.7150,0.0000,43.8100,0.0000,0.0000,22.8570,40.9520,0.3146
0,smc_013,86.4860,71.0580,100.0000,91.0710,91.0710,91.0710,91.0710,91.0710,2.1184
0,smc_014,46.3160,39.7220,0.0000,48.0000,30.0000,40.0000,30.0000,40.0000,1.3253
0,smc_015,22.0340,18.2590,0.0000,37.1130,0.0000,0.0000,0.0000,0.0000,0.5021
0,smc_016,75.6100,62.5040,0.0000,82.9270,80.4880,80.4880,80.4880,80.4880,2.1420
0,smc_017,16.4710,12.6270,0.0000,25.5810,20.9300,23.2560,37.2090,67.4420,1.7284
0,smc_018,30.5730,22.1250,0.0000,35.1850,0.0000,0.0000,6.4815,31.4810,0.2634
0,smc_019,39.4370,31.1390,0.0000,43.7500,0.0000,0.0000,45.8330,66.6670,1.1798
0,smc_021,49.0910,38.3600,100.0000,63.1580,29.8250,47.3680,29.8250,47.3680,1.0353
0,smc_022,43.0770,33.6150,0.0000,40.2170,0.0000,0.0000,8.6957,38.0430,0.7016
0,smc_023,41.2700,38.4440,0.0000,33.3330,0.0000,0.0000,42.8570,57.1430,2.0657
0,smc_024,58.4270,44.7730,100.0000,51.4560,19.4170,33.9810,19.4170,33.9810,0.7302
0,smc_026,67.7970,51.1080,100.0000,96.6670,63.3330,93.3330,63.3330,93.3330,2.3520
0,smc_027,56.0000,36.3850,0.0000,73.6840,57.8950,68.4210,57.8950,68.4210,1.7009
0,smc_028,40.2880,31.4250,0.0000,44.1560,11.6880,29.8700,11.6880,29.8700,0.4142
0,smc_030,46.4520,38.4390,0.0000,31.0340,0.0000,0.0000,0.0000,0.0000,1.2627
0,smc_032,31.1690,26.4990,0.0000,25.9260,0.0000,0.0000,14.8150,14.8150,1.5706
0,smc_033,42.2020,30.6250,0.0000,64.2860,19.6430,58.9290,19.6430,58.9290,0.8746
0,smc_034,91.8920,74.8180,100.0000,100.0000,97.2970,97.2970,97.2970,97.2970,2.9614
0,smc_035,82.3530,56.8210,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,2.6244
0,smc_036,90.4110,66.1770,100.0000,89.1890,89.1890,89.1890,89.1890,89.1890,2.4784
0,smc_037,38.8890,33.9380,0.0000,43.2430,0.0000,0.0000,20.2700,55.4050,0.9295
0,smc_038,40.0000,30.6710,0.0000,36.4860,0.0000,0.0000,35.1350,52.7030,0.7156
0,smc_041,36.2200,28.1090,0.0000,40.6980,0.0000,0.0000,20.9300,51.1630,0.6728
0,smc_042,36.1450,27.0270,0.0000,42.8570,0.0000,0.0000,33.9290,55.3570,0.9216
0,smc_043,57.9440,51.2040,0.0000,59.6490,10.5260,45.6140,10.5260,45.6140,1.3979
0,smc_044,47.1910,38.1730,0.0000,54.3480,39.1300,41.3040,39.1300,41.3040,1.3098
0,smc_046,65.7890,49.6400,0.0000,97.3680,47.3680,89.4740,47.3680,89.4740,2.1797
0,smc_047,35.8970,27.1560,0.0000,39.2160,0.0000,0.0000,44.4440,70.3700,0.9483
0,smc_048,22.9510,19.0000,0.0000,43.9020,0.0000,0.0000,29.2680,51.2200,0.9673
0,smc_051,75.6760,57.5550,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,2.2376
0,smc_052,32.3810,22.7800,0.0000,49.0570,13.2080,33.9620,23.0770,33.9620,0.7126
0,smc_054,88.8890,71.4940,100.0000,94.5950,94.5950,94.5950,94.5950,94.5950,2.9146
0,smc_055,87.1790,63.9940,100.0000,97.4360,97.4360,97.4360,97.4360,97.4360,2.4650
0,smc_056,22.4600,16.3430,0.0000,36.2200,0.0000,0.0000,4.7244,22.0470,0.3532
0,smc_057,25.7140,18.8190,0.0000,34.2860,25.7140,28.5710,54.2860,54.2860,1.2212
0,smc_058,24.6580,18.7780,0.0000,48.6490,29.7300,45.9460,29.7300,45.9460,1.0720
0,smc_059,57.6000,48.1180,0.0000,50.6020,0.0000,0.0000,59.0360,89.1570,1.4977
0,smc_060,57.5000,43.4080,100.0000,82.9270,63.4150,73.1710,63.4150,73.1710,1.8065
0,smc_061,60.8700,44.4770,0.0000,50.0000,0.0000,0.0000,80.4350,93.4780,1.9771
0,smc_063,79.6120,56.4430,100.0000,98.0770,98.0770,98.0770,98.0770,98.0770,2.0425
0,smc_064,0.0000,0.4894,0.0000,96.0000,52.0000,88.0000,52.0000,88.0000,2.7032
0,smc_065,93.0230,72.1740,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,2.6602
0,smc_066,40.0000,27.9480,0.0000,53.5710,39.2860,50.0000,39.2860,50.0000,1.5860
